Nro,PRODUCTO,RUBRO,ANHO,MES,PRECIO
238,Carne de ave / Hígado - 1kg,Marca mas económica,2007,OCTUBRE,4860
239,Carne de ave / Hígado - 1kg,Marca mas económica,2007,NOVIEMBRE,4663
240,Carne de ave / Hígado - 1kg,Marca mas económica,2007,DICIEMBRE,3952
241,Carne de ave / Corazoncito - 1kg,Marca mas económica,2007,MAYO,12896
242,Carne de ave / Corazoncito - 1kg,Marca mas económica,2007,JUNIO,13063
243,Carne de ave / Corazoncito - 1kg,Marca mas económica,2007,JULIO,13231
244,Carne de ave / Corazoncito - 1kg,Marca mas económica,2007,AGOSTO,13434
245,Carne de ave / Corazoncito - 1kg,Marca mas económica,2007,SETIEMBRE,13292
246,Carne de ave / Corazoncito - 1kg,Marca mas económica,2007,OCTUBRE,12086
247,Carne de ave / Corazoncito - 1kg,Marca mas económica,2007,NOVIEMBRE,12657
248,Carne de ave / Corazoncito - 1kg,Marca mas económica,2007,DICIEMBRE,11355
249,Embutido / chorizo Viena - 1kg,Marca mas económica,2007,MAYO,11154
250,Embutido / chorizo Viena - 1kg,Marca mas económica,2007,JUNIO,11120
251,Embutido / chorizo Viena - 1kg,Marca mas económica,2007,JULIO,10808
252,Embutido / chorizo Viena - 1kg,Marca mas económica,2007,AGOSTO,11251
253,Embutido / chorizo Viena - 1kg,Marca mas económica,2007,SETIEMBRE,11341
254,Embutido / chorizo Viena - 1kg,Marca mas económica,2007,OCTUBRE,11442
255,Embutido / chorizo Viena - 1kg,Marca mas económica,2007,NOVIEMBRE,11805
256,Embutido / chorizo Viena - 1kg,Marca mas económica,2007,DICIEMBRE,12057
257,Embutido / fiambre Paris - 1kg,Marca mas económica,2007,MAYO,11886
258,Embutido / fiambre Paris - 1kg,Marca mas económica,2007,JUNIO,11743
259,Embutido / fiambre Paris - 1kg,Marca mas económica,2007,JULIO,11498
260,Embutido / fiambre Paris - 1kg,Marca mas económica,2007,AGOSTO,11876
261,Embutido / fiambre Paris - 1kg,Marca mas económica,2007,SETIEMBRE,11794
262,Embutido / fiambre Paris - 1kg,Marca mas económica,2007,OCTUBRE,12014
263,Embutido / fiambre Paris - 1kg,Marca mas económica,2007,NOVIEMBRE,12645
264,Embutido / fiambre Paris - 1kg,Marca mas económica,2007,DICIEMBRE,12862
265,Queso - 1kg,Queso Paraguay,2007,MAYO,5632
266,Queso - 1kg,Queso Paraguay,2007,JUNIO,17704
267,Queso - 1kg,Queso Paraguay,2007,JULIO,18733
268,Queso - 1kg,Queso Paraguay,2007,AGOSTO,18507
269,Queso - 1kg,Queso Paraguay,2007,SETIEMBRE,18357
270,Queso - 1kg,Queso Paraguay,2007,OCTUBRE,18301
271,Queso - 1kg,Queso Paraguay,2007,NOVIEMBRE,17629
272,Queso - 1kg,Queso Paraguay,2007,DICIEMBRE,15419
273,Queso sándwich - 1kg,Marca mas económica,2007,MAYO,6214
274,Queso sándwich - 1kg,Marca mas económica,2007,JUNIO,22577
275,Queso sándwich - 1kg,Marca mas económica,2007,JULIO,24740
276,Queso sándwich - 1kg,Marca mas económica,2007,AGOSTO,25875
277,Queso sándwich - 1kg,Marca mas económica,2007,SETIEMBRE,26551
278,Queso sándwich - 1kg,Marca mas económica,2007,OCTUBRE,26840
279,Queso sándwich - 1kg,Marca mas económica,2007,NOVIEMBRE,26775
280,Queso sándwich - 1kg,Marca mas económica,2007,DICIEMBRE,25796
281,Aceite de soja - 900cc,Marca mas económica,2007,MAYO,11460
282,Aceite de soja - 900cc,Marca mas económica,2007,JUNIO,5750
283,Aceite de soja - 900cc,Marca mas económica,2007,JULIO,6109
284,Aceite de soja - 900cc,Marca mas económica,2007,AGOSTO,6506
285,Aceite de soja - 900cc,Marca mas económica,2007,SETIEMBRE,6506
286,Aceite de soja - 900cc,Marca mas económica,2007,OCTUBRE,6688
287,Aceite de soja - 900cc,Marca mas económica,2007,NOVIEMBRE,7013
288,Aceite de soja - 900cc,Marca mas económica,2007,DICIEMBRE,7047
289,Aceite de girasol - 900cc,Marca mas económica,2007,MAYO,15045
290,Aceite de girasol - 900cc,Marca mas económica,2007,JUNIO,6250
291,Aceite de girasol - 900cc,Marca mas económica,2007,JULIO,6607
292,Aceite de girasol - 900cc,Marca mas económica,2007,AGOSTO,6985
293,Aceite de girasol - 900cc,Marca mas económica,2007,SETIEMBRE,7162
294,Aceite de girasol - 900cc,Marca mas económica,2007,OCTUBRE,7773
295,Aceite de girasol - 900cc,Marca mas económica,2007,NOVIEMBRE,8486
296,Aceite de girasol - 900cc,Marca mas económica,2007,DICIEMBRE,8783
297,Aceite de maíz - 1lt,Marca mas económica,2007,MAYO,19852
298,Aceite de maíz - 1lt,Marca mas económica,2007,JUNIO,11459
299,Aceite de maíz - 1lt,Marca mas económica,2007,JULIO,11337
300,Aceite de maíz - 1lt,Marca mas económica,2007,AGOSTO,11452
301,Aceite de maíz - 1lt,Marca mas económica,2007,SETIEMBRE,11750
302,Aceite de maíz - 1lt,Marca mas económica,2007,OCTUBRE,11794
303,Aceite de maíz - 1lt,Marca mas económica,2007,NOVIEMBRE,11834
304,Aceite de maíz - 1lt,Marca mas económica,2007,DICIEMBRE,11992
305,Leche sachet - 1lt,Marca mas económica,2007,MAYO,2309
306,Leche sachet - 1lt,Marca mas económica,2007,JUNIO,2287
307,Leche sachet - 1lt,Marca mas económica,2007,JULIO,2393
308,Leche sachet - 1lt,Marca mas económica,2007,AGOSTO,2581
309,Leche sachet - 1lt,Marca mas económica,2007,SETIEMBRE,2773
310,Leche sachet - 1lt,Marca mas económica,2007,OCTUBRE,2750
311,Leche sachet - 1lt,Marca mas económica,2007,NOVIEMBRE,2987
312,Leche sachet - 1lt,Marca mas económica,2007,DICIEMBRE,2998
313,Leche sachet - 1/2 lt,Marca mas económica,2007,MAYO,1209
314,Leche sachet - 1/2 lt,Marca mas económica,2007,JUNIO,1220
315,Leche sachet - 1/2 lt,Marca mas económica,2007,JULIO,1268
316,Leche sachet - 1/2 lt,Marca mas económica,2007,AGOSTO,1353
317,Leche sachet - 1/2 lt,Marca mas económica,2007,SETIEMBRE,1427
318,Leche sachet - 1/2 lt,Marca mas económica,2007,OCTUBRE,1438
319,Leche sachet - 1/2 lt,Marca mas económica,2007,NOVIEMBRE,1549
320,Leche sachet - 1/2 lt,Marca mas económica,2007,DICIEMBRE,1572
321,Leche UHT - 1lt,Marca mas económica,2007,MAYO,3009
322,Leche UHT - 1lt,Marca mas económica,2007,JUNIO,3079
323,Leche UHT - 1lt,Marca mas económica,2007,JULIO,3166
324,Leche UHT - 1lt,Marca mas económica,2007,AGOSTO,3395
325,Leche UHT - 1lt,Marca mas económica,2007,SETIEMBRE,3505
326,Leche UHT - 1lt,Marca mas económica,2007,OCTUBRE,3551
