Nº,PRODUCTO,RUBRO,ANHO,MES,PRECIO
259,Carne bovina - 1kg,Mondongo,2009,DICIEMBRE,7232
260,Carne bovina - 1kg,Mondongo,2009,PROMEDIO,8520
261,Carne bovina - 1kg,Carnaza de Primera,2009,ENERO,21563
262,Carne bovina - 1kg,Carnaza de Primera,2009,FEBRERO,21472
263,Carne bovina - 1kg,Carnaza de Primera,2009,MARZO,21451
264,Carne bovina - 1kg,Carnaza de Primera,2009,ABRIL,20736
265,Carne bovina - 1kg,Carnaza de Primera,2009,MAYO,20014
266,Carne bovina - 1kg,Carnaza de Primera,2009,JUNIO,21525
267,Carne bovina - 1kg,Carnaza de Primera,2009,JULIO,22369
268,Carne bovina - 1kg,Carnaza de Primera,2009,AGOSTO,23488
269,Carne bovina - 1kg,Carnaza de Primera,2009,SETIEMBRE,23565
270,Carne bovina - 1kg,Carnaza de Primera,2009,OCTUBRE,23833
271,Carne bovina - 1kg,Carnaza de Primera,2009,NOVIEMBE,24041
272,Carne bovina - 1kg,Carnaza de Primera,2009,DICIEMBRE,24057
273,Carne bovina - 1kg,Carnaza de Primera,2009,PROMEDIO,22343
274,Carne bovina - 1kg,Carnaza de Segunda,2009,ENERO,11963
275,Carne bovina - 1kg,Carnaza de Segunda,2009,FEBRERO,12658
276,Carne bovina - 1kg,Carnaza de Segunda,2009,MARZO,12224
277,Carne bovina - 1kg,Carnaza de Segunda,2009,ABRIL,11994
278,Carne bovina - 1kg,Carnaza de Segunda,2009,MAYO,12190
279,Carne bovina - 1kg,Carnaza de Segunda,2009,JUNIO,13478
280,Carne bovina - 1kg,Carnaza de Segunda,2009,JULIO,13897
281,Carne bovina - 1kg,Carnaza de Segunda,2009,AGOSTO,13704
282,Carne bovina - 1kg,Carnaza de Segunda,2009,SETIEMBRE,13583
283,Carne bovina - 1kg,Carnaza de Segunda,2009,OCTUBRE,14130
284,Carne bovina - 1kg,Carnaza de Segunda,2009,NOVIEMBE,14031
285,Carne bovina - 1kg,Carnaza de Segunda,2009,DICIEMBRE,13752
286,Carne bovina - 1kg,Carnaza de Segunda,2009,PROMEDIO,13134
287,Carne bovina - 1kg,Puchero de Segunda,2009,ENERO,2811
288,Carne bovina - 1kg,Puchero de Segunda,2009,FEBRERO,2764
289,Carne bovina - 1kg,Puchero de Segunda,2009,MARZO,2410
290,Carne bovina - 1kg,Puchero de Segunda,2009,ABRIL,2224
291,Carne bovina - 1kg,Puchero de Segunda,2009,MAYO,2864
292,Carne bovina - 1kg,Puchero de Segunda,2009,JUNIO,3508
293,Carne bovina - 1kg,Puchero de Segunda,2009,JULIO,3113
294,Carne bovina - 1kg,Puchero de Segunda,2009,AGOSTO,3151
295,Carne bovina - 1kg,Puchero de Segunda,2009,SETIEMBRE,3444
296,Carne bovina - 1kg,Puchero de Segunda,2009,OCTUBRE,3218
297,Carne bovina - 1kg,Puchero de Segunda,2009,NOVIEMBE,2562
298,Carne bovina - 1kg,Puchero de Segunda,2009,DICIEMBRE,2427
299,Carne bovina - 1kg,Puchero de Segunda,2009,PROMEDIO,2875
300,Carne bovina - 1kg,Tapa Cuadril,2009,ENERO,s/d
301,Carne bovina - 1kg,Tapa Cuadril,2009,FEBRERO,27524
302,Carne bovina - 1kg,Tapa Cuadril,2009,MARZO,25316
303,Carne bovina - 1kg,Tapa Cuadril,2009,ABRIL,24997
304,Carne bovina - 1kg,Tapa Cuadril,2009,MAYO,24253
305,Carne bovina - 1kg,Tapa Cuadril,2009,JUNIO,24688
306,Carne bovina - 1kg,Tapa Cuadril,2009,JULIO,25127
307,Carne bovina - 1kg,Tapa Cuadril,2009,AGOSTO,26343
308,Carne bovina - 1kg,Tapa Cuadril,2009,SETIEMBRE,26592
309,Carne bovina - 1kg,Tapa Cuadril,2009,OCTUBRE,27164
310,Carne bovina - 1kg,Tapa Cuadril,2009,NOVIEMBE,27344
311,Carne bovina - 1kg,Tapa Cuadril,2009,DICIEMBRE,27280
312,Carne bovina - 1kg,Tapa Cuadril,2009,PROMEDIO,26057
313,Carne bovina - 1kg,Rabadilla,2009,ENERO,s/d
314,Carne bovina - 1kg,Rabadilla,2009,FEBRERO,24512
315,Carne bovina - 1kg,Rabadilla,2009,MARZO,23832
316,Carne bovina - 1kg,Rabadilla,2009,ABRIL,23456
317,Carne bovina - 1kg,Rabadilla,2009,MAYO,21562
318,Carne bovina - 1kg,Rabadilla,2009,JUNIO,23062
319,Carne bovina - 1kg,Rabadilla,2009,JULIO,24260
320,Carne bovina - 1kg,Rabadilla,2009,AGOSTO,25163
321,Carne bovina - 1kg,Rabadilla,2009,SETIEMBRE,25776
322,Carne bovina - 1kg,Rabadilla,2009,OCTUBRE,25854
323,Carne bovina - 1kg,Rabadilla,2009,NOVIEMBE,25809
324,Carne bovina - 1kg,Rabadilla,2009,DICIEMBRE,25675
325,Carne bovina - 1kg,Rabadilla,2009,PROMEDIO,24451
326,Carne bovina - 1kg,Bola de Lomo,2009,ENERO,s/d
327,Carne bovina - 1kg,Bola de Lomo,2009,FEBRERO,20531
328,Carne bovina - 1kg,Bola de Lomo,2009,MARZO,20817
329,Carne bovina - 1kg,Bola de Lomo,2009,ABRIL,20636
330,Carne bovina - 1kg,Bola de Lomo,2009,MAYO,19599
